PriceComponents,Periods,NG_Household_LessThan_569m3_EuroPerM3,NG_Household_569to5687m3_EuroPerM3,NG_Household_MoreThan_5687m3_EuroPerM3,NG_NonHousehold_LessThan_28433m3_EuroPerM3,NG_NonHousehold_28433to284333m3_EuroPerM3,NG_NonHousehold_284333to2843332m3_EuroPerM3,NG_NonHousehold_2843332to28433324m3_EuroPerM3,NG_NonHousehold_MoreThan_28433324m3_EuroPerM3,Electricity_Household_LessThan_1MWh_EuroPerKWh,Electricity_Household_1to2.5MWh_EuroPerKWh,Electricity_Household_2.5to5MWh_EuroPerKWh,Electricity_Household_5to15MWh_EuroPerKWh,Electricity_Household_MoreThan_15MWh_EuroPerKWh,Electricity_NonHousehold_LessThan_20MWh_EuroPerKWh,Electricity_NonHousehold_20to500MWh_EuroPerKWh,Electricity_NonHousehold_500to2000MWh_EuroPerKWh,Electricity_NonHousehold_2000to20000MWh_EuroPerKWh,Electricity_NonHousehold_20000to70000MWh_EuroPerKWh,Electricity_NonHousehold_70000to150000MWh_EuroPerKWh,Electricity_NonHousehold_MoreThan_150000MWh_EuroPerKWh,Total_Elec_Household,Total_Elec_NonHousehold,Total_NGs_Household,Total_NG_NonHousehold
DeliveryPrice,2016,0.836,0.685,0.657,0.678,0.636,0.394,0.281,0.203,-0.398,-0.003,0.094,0.144,0.141,0.119,0.113,0.079,0.072,0.056,0.054,0.05,-0.022000000000000075,0.543,2.178,2.192
DeliveryPrice,2017 1e halfjaar,0.795,0.664,0.621,0.66,0.615,0.418,0.285,0.231,-0.4,-0.006,0.092,0.143,0.157,0.129,0.135,0.077,0.07,0.059,0.052,0.049,-0.014000000000000068,0.5710000000000001,2.08,2.2089999999999996
DeliveryPrice,2017 2e halfjaar,0.875,0.678,0.625,0.652,0.6,0.302,0.254,0.222,-0.405,-0.008,0.091,0.142,0.119,0.134,0.083,0.07,0.068,0.047,0.047,0.048,-0.06100000000000008,0.497,2.178,2.0300000000000002
DeliveryPrice,2017,0.827,0.67,0.623,0.656,0.609,0.366,0.27,0.226,-0.403,-0.007,0.091,0.142,0.138,0.131,0.11,0.073,0.069,0.053,0.049,0.048,-0.03900000000000006,0.533,2.12,2.1270000000000002
DeliveryPrice,2018 1e halfjaar,0.832,0.703,0.676,0.66,0.633,0.439,0.297,0.255,-0.364,0.009,0.104,0.154,0.171,0.089,0.144,0.082,0.072,0.062,0.053,0.049,0.07400000000000001,0.551,2.211,2.2840000000000003
DeliveryPrice,2018 2e halfjaar,0.942,0.715,0.662,0.678,0.615,0.335,0.28,0.293,-0.394,0.005,0.104,0.157,0.135,0.123,0.1,0.076,0.075,0.054,0.056,0.054,0.0069999999999999785,0.538,2.319,2.201
DeliveryPrice,2018,0.876,0.708,0.67,0.667,0.625,0.393,0.289,0.283,-0.38,0.007,0.104,0.155,0.153,0.096,0.122,0.079,0.074,0.058,0.055,0.052,0.03899999999999998,0.536,2.254,2.257
DeliveryPrice,2019 1e halfjaar,0.97,0.815,0.788,0.778,0.714,0.443,0.296,0.252,-0.222,0.065,0.137,0.18,0.196,0.144,0.134,0.091,0.085,0.07,0.064,0.058,0.356,0.6460000000000001,2.573,2.4829999999999997
DeliveryPrice,2019 2e halfjaar,1.05,0.815,0.762,0.755,0.651,0.32,0.234,0.178,-0.207,0.065,0.136,0.179,0.166,0.125,0.098,0.086,0.084,0.057,0.056,0.056,0.339,0.562,2.627,2.1380000000000003
DeliveryPrice,2019,1.005,0.815,0.777,0.768,0.683,0.392,0.267,0.222,-0.215,0.065,0.137,0.18,0.181,0.135,0.116,0.088,0.084,0.063,0.06,0.057,0.348,0.6030000000000001,2.597,2.332
DeliveryPrice,2020 1e halfjaar,1.035,0.878,0.844,0.838,0.763,0.447,0.272,0.211,-0.535,-0.06,0.072,0.153,0.192,0.159,0.145,0.106,0.099,0.075,0.066,0.059,-0.178,0.7089999999999999,2.7569999999999997,2.531
DeliveryPrice,2020 2e halfjaar,1.102,0.852,0.799,0.802,0.763,0.311,0.24,0.205,-0.577,-0.073,0.064,0.147,0.162,0.159,0.107,0.101,0.099,0.06,0.062,0.058,-0.2769999999999998,0.6460000000000001,2.753,2.3209999999999997
DeliveryPrice,2020,1.061,0.867,0.826,0.818,0.763,0.371,0.257,0.208,-0.555,-0.066,0.068,0.15,0.178,0.159,0.121,0.103,0.099,0.069,0.064,0.059,-0.22499999999999992,0.6739999999999999,2.754,2.4170000000000003
DeliveryPrice,2021 1e halfjaar,0.994,0.843,0.804,0.819,0.776,0.47,0.316,0.287,-0.595,-0.089,0.052,0.14,0.185,0.154,0.148,0.11,0.105,0.08,0.064,0.061,-0.3069999999999999,0.722,2.641,2.6679999999999997
DeliveryPrice,2021 2e halfjaar,1.19,0.931,0.877,0.857,0.837,0.507,0.489,0.597,-0.593,-0.075,0.068,0.155,0.176,0.162,0.125,0.124,0.132,0.087,0.075,0.107,-0.26899999999999985,0.8119999999999999,2.998,3.287
DeliveryPrice,2021,1.065,0.876,0.833,0.835,0.805,0.488,0.392,0.422,-0.594,-0.082,0.06,0.148,0.18,0.158,0.136,0.117,0.119,0.084,0.069,0.085,-0.28799999999999987,0.768,2.774,2.942
DeliveryPrice,2022 1e halfjaar,1.293,1.165,1.136,1.148,1.03,0.887,0.745,0.946,-1.031,-0.258,-0.032,0.109,0.203,0.121,0.199,0.18,0.185,0.166,0.153,0.163,-1.009,1.167,3.5940000000000003,4.756
DeliveryPrice,2022 2e halfjaar,1.737,1.812,1.656,1.632,1.061,0.706,0.788,1.178,-0.783,-0.114,0.093,0.222,0.325,0.231,0.197,0.171,0.206,0.16,0.153,0.174,-0.25700000000000006,1.292,5.205,5.364999999999999
DeliveryPrice,2022,1.488,1.408,1.313,1.3,1.041,0.814,0.762,1.041,-0.899,-0.186,0.029,0.164,0.262,0.18,0.198,0.175,0.196,0.163,0.153,0.168,-0.63,1.2329999999999999,4.209,4.958
DeliveryPrice,2023 1e halfjaar,1.653,1.795,2.083,1.82,1.546,1.005,0.941,0.807,-0.45,0.066,0.27,0.427,0.538,0.413,0.297,0.249,0.267,0.237,0.257,0.236,0.851,1.9560000000000002,5.531000000000001,6.119000000000001
